920680.BJ,广道退,广东
600200.SS,退市苏吴,江苏
600675.SS,中华企业,上海
600676.SS,交运股份,上海
600679.SS,上海凤凰,上海
600688.SS,上海石化,上海
600689.SS,上海三毛,上海
600692.SS,亚通股份,上海
600696.SS,*ST岩石,上海
600708.SS,光明地产,上海
600732.SS,爱旭股份,上海
600741.SS,华域汽车,上海
600748.SS,上实发展,上海
600754.SS,锦江酒店,上海
600816.SS,建元信托,上海
600818.SS,中路股份,上海
600819.SS,耀皮玻璃,上海
600820.SS,隧道股份,上海
600822.SS,上海物贸,上海
600824.SS,益民集团,上海
600825.SS,新华传媒,上海
600826.SS,兰生股份,上海
600827.SS,百联股份,上海
600833.SS,第一医药,上海
600834.SS,申通地铁,上海
600835.SS,上海机电,上海
600838.SS,上海九百,上海
600841.SS,动力新科,上海
600845.SS,宝信软件,上海
600846.SS,同济科技,上海
600848.SS,上海临港,上海
600850.SS,电科数字,上海
600851.SS,海欣股份,上海
600895.SS,张江高科,上海
601328.SS,交通银行,上海
601601.SS,中国太保,上海
601607.SS,上海医药,上海
601727.SS,上海电气,上海
601788.SS,光大证券,上海
601866.SS,中远海发,上海
601872.SS,招商轮船,上海
002022.SZ,科华生物,上海
002028.SZ,思源电气,上海
002058.SZ,*ST威尔,上海
002116.SZ,中国海诚,上海
002158.SZ,汉钟精机,上海
002162.SZ,悦心健康,上海
002178.SZ,延华智能,上海
002184.SZ,海得控制,上海
002195.SZ,岩山科技,上海
002252.SZ,上海莱士,上海
002269.SZ,美邦服饰,上海
002278.SZ,神开股份,上海
002324.SZ,普利特,上海
002328.SZ,新朋股份,上海
002346.SZ,柘中股份,上海
002401.SZ,中远海科,上海
300008.SZ,天海防务,上海
300017.SZ,网宿科技,上海
300039.SZ,上海凯宝,上海
300059.SZ,东方财富,上海
300061.SZ,旗天科技,上海
300067.SZ,安诺其,上海
300074.SZ,华平股份,上海
600843.SS,上工申贝,上海
600000.SS,浦发银行,上海
600009.SS,上海机场,上海
600018.SS,XD上港集,上海
600019.SS,宝钢股份,上海
600021.SS,上海电力,上海
600026.SS,中远海能,上海
600061.SS,国投资本,上海
600072.SS,中船科技,上海
600073.SS,光明肉业,上海
600081.SS,东风科技,上海
600088.SS,中视传媒,上海
600097.SS,开创国际,上海
600104.SS,上汽集团,上海
600115.SS,中国东航,上海
600119.SS,长江投资,上海
600150.SS,中国船舶,上海
600151.SS,航天机电,上海
600170.SS,上海建工,上海
600171.SS,上海贝岭,上海
600193.SS,*ST创兴,上海
600196.SS,复星医药,上海
600210.SS,紫江企业,上海
600272.SS,开开实业,上海
600278.SS,东方创业,上海
600284.SS,浦东建设,上海
600315.SS,上海家化,上海
600320.SS,振华重工,上海
600420.SS,国药现代,上海
600490.SS,鹏欣资源,上海
600500.SS,中化国际,上海
600503.SS,华丽家族,上海
600508.SS,上海能源,上海
600517.SS,国网英大,上海
600530.SS,交大昂立,上海
600597.SS,光明乳业,上海
600601.SS,方正科技,上海
600602.SS,云赛智联,上海
600604.SS,市北高新,上海
600605.SS,汇通能源,上海
600606.SS,绿地控股,上海
600608.SS,*ST沪科,上海
600611.SS,大众交通,上海
600612.SS,老凤祥,上海
600613.SS,神奇制药,上海
600616.SS,金枫酒业,上海
600618.SS,氯碱化工,上海
600619.SS,海立股份,上海
600620.SS,天宸股份,上海
600621.SS,华鑫股份,上海
600622.SS,光大嘉宝,上海
600623.SS,华谊集团,上海
600624.SS,ST复华,上海
600626.SS,申达股份,上海
600628.SS,新世界,上海
600629.SS,华建集团,上海
600630.SS,龙头股份,上海
600635.SS,大众公用,上海
600636.SS,*ST国化,上海
600637.SS,东方明珠,上海
600638.SS,新黄浦,上海
600639.SS,浦东金桥,上海
600640.SS,国脉文化,上海
600641.SS,先导基电,上海
600642.SS,申能股份,上海
600643.SS,爱建集团,上海
600648.SS,外高桥,上海
600649.SS,城投控股,上海
600650.SS,锦江在线,上海
600651.SS,飞乐音响,上海
600655.SS,豫园股份,上海
600661.SS,昂立教育,上海
600662.SS,外服控股,上海
600663.SS,陆家嘴,上海
002451.SZ,摩恩电气,上海
002454.SZ,松芝股份,上海
300168.SZ,万达信息,上海
300129.SZ,泰胜风能,上海
600094.SS,大名城,上海
002527.SZ,新时达,上海
002568.SZ,百润股份,上海
002605.SZ,姚记科技,上海
300253.SZ,卫宁健康,上海
300286.SZ,安科瑞,上海
002565.SZ,顺灏股份,上海
002486.SZ,嘉麟杰,上海
603128.SS,华贸物流,上海
002561.SZ,徐家汇,上海
601231.SS,环旭电子,上海
002506.SZ,协鑫集成,上海
688180.SS,君实生物-U,上海
002636.SZ,金安国纪,上海
300378.SZ,鼎捷数智,上海
300380.SZ,安硕信息,上海
300180.SZ,华峰超纤,上海
000863.SZ,三湘印象,上海
300126.SZ,锐奇股份,上海
300272.SZ,开能健康,上海
300170.SZ,汉得信息,上海
300171.SZ,东富龙,上海
300222.SZ,科大智能,上海
300225.SZ,*ST金泰,上海
300226.SZ,上海钢联,上海
300236.SZ,上海新阳,上海
300245.SZ,天玑科技,上海
300153.SZ,科泰电源,上海
601616.SS,广电电气,上海
300326.SZ,ST凯利,上海
300327.SZ,中颖电子,上海
601519.SS,大智慧,上海
002669.SZ,康达新材,上海
002706.SZ,良信股份,上海
300398.SZ,飞凯材料,上海
920693.BJ,阿为特,上海
603006.SS,联明股份,上海
603899.SS,晨光股份,上海
601021.SS,春秋航空,上海
603030.SS,全筑股份,上海
603729.SS,龙韵股份,上海
600958.SS,东方证券,上海
603012.SS,创力集团,上海
603020.SS,爱普股份,上海
603009.SS,北特科技,上海
603022.SS,新通联,上海
601968.SS,宝钢包装,上海
300483.SZ,首华燃气,上海
601211.SS,国泰海通,上海
603718.SS,海利生物,上海
